iter	MultiClass
0	4.00580065
1	3.79310403
2	3.642638159
3	3.501619144
4	3.366773215
5	3.291467223
6	3.22274228
7	3.137644389
8	3.076378963
9	3.0405271
10	2.97945801
11	2.926614137
12	2.91323065
13	2.882286221
14	2.853928054
15	2.827390923
16	2.802655383
17	2.793698582
18	2.761656042
19	2.75400558
20	2.735173039
21	2.708161863
22	2.69035088
23	2.67083931
24	2.651738952
25	2.627459018
26	2.611046258
27	2.599210534
28	2.596196292
29	2.585070862
30	2.577873962
31	2.565272109
32	2.554125644
33	2.542436202
34	2.532438194
35	2.527205883
36	2.517201746
37	2.511986838
38	2.495452413
39	2.487399625
40	2.480345672
41	2.475331035
42	2.471585501
43	2.463215067
44	2.452320941
45	2.445683966
46	2.439764858
47	2.430756167
48	2.423182337
49	2.420585072
50	2.416482159
51	2.410193225
52	2.402189327
53	2.398390923
54	2.388016962
55	2.383254952
56	2.376494975
57	2.373433156
58	2.367826986
59	2.361328577
60	2.355671841
61	2.352109896
62	2.349972185
63	2.345521625
64	2.34358088
65	2.341744085
66	2.339604343
67	2.334676352
68	2.330479251
69	2.326830879
70	2.325104608
71	2.319151547
