iter	Passed	Remaining
0	305	30248
1	586	28748
2	858	27755
3	1143	27450
4	1443	27425
5	1748	27387
6	2057	27337
7	2336	26870
8	2628	26575
9	2946	26514
10	3261	26391
11	3561	26115
12	3857	25814
13	4179	25672
14	4481	25396
15	4868	25560
16	5171	25250
17	5472	24929
18	5834	24871
19	6136	24547
20	6400	24077
21	6677	23673
22	6944	23248
23	7208	22825
24	7460	22382
25	7719	21971
26	7982	21583
27	8240	21190
28	8491	20789
29	8749	20414
30	9015	20066
31	9290	19742
32	9545	19380
33	9808	19039
34	10072	18705
35	10349	18399
36	10617	18079
37	10884	17759
38	11146	17434
39	11405	17108
40	11658	16776
41	11902	16436
42	12150	16106
43	12422	15810
44	12685	15505
45	12937	15186
46	13184	14867
47	13427	14546
48	13683	14241
49	13934	13934
50	14190	13634
51	14441	13330
52	14689	13026
53	14941	12728
54	15192	12430
55	15454	12142
56	15715	11855
57	15966	11561
58	16214	11267
59	16462	10974
60	16721	10690
61	16985	10410
62	17235	10122
63	17478	9831
64	17732	9548
65	17993	9269
66	18315	9021
67	18602	8754
68	18931	8505
69	19310	8276
70	19668	8033
71	19954	7760
